qid,outcome,answer,gold_answer,judge_correct,score_correct,scoring_basis,policy_attempts,judge_attempts,native_calls,executed_actions,query_executions,query_cache_hits,backend_calls,evidence_windows,compaction_requests,shelf_restore_requests,elapsed_seconds,head,action_error_counts
770,model_budget,,Laura Lojo-Rodriguez,,False,no_formal_answer,64,0,120,118,330,297,36,6,50,52,318.4045643999998,27aadd87643432291ef9cbdcb1c1679662c2d4192c4e492527b106368f6c6c0f,"{""final_only"":2}"
778,model_budget,,21,,False,no_formal_answer,64,0,64,3,6,0,7,1,0,0,188.6569866000209,1bb75f4b1e55f681d290240a7646808f5362a40d9e89fae16cdfc9e7cd480aba,"{""arguments_invalid"":61}"
772,submitted,"The article says the longest-serving employee at the school is Vuyokazi, who serves as the school's secretary.",Secretary,True,True,post_run_semantic_judge,5,1,5,5,6,0,7,2,0,0,19.778630099986913,07504c00659ac2d909947aa9548b7f8fadcc7db670b5a267b259c882c02bf552,{}
774,abstained,,Georgia Hirst,,False,no_formal_answer,64,0,127,127,315,300,15,0,19,0,273.10485099998186,3d488e03f78a096dfcdd2a2338e5afa1e5df334a14af2cb1e14227c1b4f7aa82,{}
769,submitted,Queen Arwa University,Queen Arwa University,True,True,post_run_semantic_judge,6,1,11,11,18,0,22,4,0,0,38.64664360001916,2701c372ad8d5b29bf46895e78a04f83fd0a11d24f0c1580d9073f2a51cb9d37,{}
775,model_budget,,Boston,,False,no_formal_answer,64,0,128,126,377,317,60,0,59,0,372.3881184000056,0edf918cf84f953a7b8851c87c75e01c3953da5bcca92f76a99e5254e73365e8,"{""final_only"":2}"
786,submitted,Kiran Shah,Kiran Shah,True,True,post_run_semantic_judge,64,1,67,67,139,95,47,5,7,38,344.6782148999919,ad5c7e245b29bc309394a006c54f87e334c493a976fa22181bc9283b10159adf,{}
776,submitted,The Dorset Culture of the Eastern Arctic,The Dorset Culture of the Eastern Arctic,True,True,post_run_semantic_judge,9,1,16,16,26,0,30,6,1,0,62.992539300001226,34ed86de9a991ededa2b210b7f3222fc15035798ae0c6a9ed59a5ad2fb765346,{}
771,submitted,Vakkorama,Vakkorama,True,True,post_run_semantic_judge,3,1,3,3,3,0,4,1,0,0,8.795471699995687,3e2a766696c08345b4526a6bffa83d4f552dca9e01969b1755c29f3ec27d5510,{}
788,submitted,"Taj-ul-Masajid (also spelled Taj-ul-Masjid), located in Bhopal, Madhya Pradesh, India.

It meets all the stated criteria:
- Completed before 1990: Construction was completed in 1958 (Wikipedia lists year_completed: 1958; ""The construction was complete by 1958"").
- Capacity over 150,000 people: It has a capacity of 175,000 worshippers.
- Interior area over 400,000 square feet: Sources describe its interior area as about 430,000 square feet (Wikipedia lists the interior area as 23,000 m²).
- Walking distance from another mosque built after 1720: Moti Masjid (the Pearl Mosque) in Bhopal, built by Sikander Begum in 1860, is located about 1.2 km away — within walking distance.
- Walking distance from a hospital established after 1930: Hamidia Hospital (formerly Prince of Wales King Edwards Memorial Hospital for Men) is about 0.5 km away. Its present building inside Fort Fatehgarh was occupied in 1953, with further extensions in 1956, placing its establishment/development well after 1930.",Taj-ul-Masajid,True,True,post_run_semantic_judge,12,1,12,11,12,0,18,6,0,0,49.97271400000318,47d2d4b50bf224e47c82975176ee9fd4079fc5331c880cb8435e7c3cb5c8a520,"{""arguments_invalid"":1}"
793,model_budget,,29/02,,False,no_formal_answer,64,0,128,126,370,308,64,2,53,27,399.43423420001636,98e2a3c5a9e6d5a706c69549cee85abf6aa86d300c1d94e194ab60ac19b9ea06,"{""final_only"":2}"
794,abstained,,1419,,False,no_formal_answer,64,0,127,127,378,357,21,0,29,0,283.9373164999997,1aa9c64c2f69007f8cbc785550e1ea888455ec18964321e0c9eb9c28c26f56c2,{}
